IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.171.231,4,4,0.00,202.55,17.90
104.21.29.114,4,4,0.00,202.19,16.24
172.66.45.192,4,4,0.00,202.78,15.50
172.67.78.140,4,4,0.00,203.20,15.41
172.67.153.33,4,4,0.00,202.99,12.98
104.17.255.132,4,4,0.00,203.16,10.37
172.67.73.100,4,4,0.00,202.90,10.30
104.21.23.110,4,4,0.00,202.99,9.59
172.67.71.73,4,4,0.00,202.80,7.37
172.67.158.92,4,4,0.00,202.53,4.05
